id,text
ioway-creek,"Originally named using an ethnic slur, this waterway was officially renamed Ioway Creek by the U.S. Board on Geographic Names in 2021."
vet-surgery,"[sic], mispelling of surgery."
nuclear-engineering-lab,"Incorrectly refers to the Nuclear Engineering Laboratory as the Nuclear Engineering Bldg."
engineers-cottage-build-date,"The 1989 build date appears to be a typo; 1898 is likely correct based on the occupancy dates."
communications-building-planning-date,"The planning date of 1969 is likely incorrect; 1959 is the probable date, as the building construction was completed in 1962."
feed-storage-elevator-date,"The date of 1972 is likely incorrect; 1927 is the probable date, as the Feed Storage Elevator was built in 1929."
cattle-barn-build-date,"The listed build dates of 1924-1925 are inaccurate; construction began in 1924 but was not completed until late 1926."
pope-cottage-after-day,"In 1981, Pope Cottage was relocated to 3974 North Dakota Avenue, where it served as a residence hall before eventually being demolished to make way for a new home."
bevier-house-after-day,"Although plans were made to raze Bevier House in 1979, the building remained standing through at least September 1987, when the Iowa State Daily reported an antique sale there."
english-office-after-day,"The Board of Regents approved demolition due to code issues and the proximity to Carver Hall, and it was razed in 2004 to create open green space."
norton-house-after-day,"Norton House was intentionally burned for demolition in 1983."
osborn-cottage-after-day,"Osborn Cottage was demolished in 2001 after hosting the Honors Program for 25 years."
